Type                                    Description                                                                               Source File                                                                               Location(row number)Location(column number)
FileNotFound                            D:\ASU\Thesis\TestingData\..\test\font-awesome\css\font-awesome.min.css                   D:\ASU\Thesis\TestingData\index.html                                                      24   17   
FileNotFound                            http://fonts.googleapis.com/css?family=Montsert:400,70                                    D:\ASU\Thesis\TestingData\index.html                                                      -1   -1   
FileNotFound                            D:\ASU\Thesis\TestingData\img\smiley.gif                                                  D:\ASU\Thesis\TestingData\index.html                                                      60   23   
FileNotFound                            D:\ASU\Thesis\TestingData\myscripts.js                                                    D:\ASU\Thesis\TestingData\index.html                                                      36   18   
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\css\bootstrap.min.css                                           5    56358
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\css\bootstrap.min.css                                           5    113907
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\css\bootstrap.min.css                                           5    114450
CSSParseError                           Invalid color "#000\9".                                                                   D:\ASU\Thesis\TestingData\css\bootstrap.min.css                                           5    115618
CSSParseError                           Invalid color "#000\9".                                                                   D:\ASU\Thesis\TestingData\css\sample.css                                                  55   9    
CSSParseError                           Error in class selector. (Invalid token "@asdfasdf". Was expecting: <IDENT>.)             D:\ASU\Thesis\TestingData\css\sample.css                                                  57   2    
CSSParseError                           Ignoring the whole rule.                                                                  D:\ASU\Thesis\TestingData\css\sample.css                                                  57   2    
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\font-awesome\css\font-awesome.min.css                           4    1622 
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\font-awesome\css\font-awesome.min.css                           4    1785 
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\font-awesome\css\font-awesome.min.css                           4    1951 
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\font-awesome\css\font-awesome.min.css                           4    2122 
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\font-awesome\css\font-awesome.min.css                           4    2295 
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\..\TestingData\font-awesome\css\font-awesome.min.css            4    1622 
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\..\TestingData\font-awesome\css\font-awesome.min.css            4    1785 
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\..\TestingData\font-awesome\css\font-awesome.min.css            4    1951 
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\..\TestingData\font-awesome\css\font-awesome.min.css            4    2122 
CSSParseError                           Error in expression; ':' found after identifier "progid".                                 D:\ASU\Thesis\TestingData\..\TestingData\font-awesome\css\font-awesome.min.css            4    2295 
ReferenceError(NonExistentClass)        CSS class not found - fooblah                                                             D:\ASU\Thesis\TestingData\index.html                                                      46   35   
ReferenceError(NonExistentClass)        CSS class not found - col-md-offset-2                                                     D:\ASU\Thesis\TestingData\index.html                                                      48   42   
ReferenceError(NonExistentClass)        CSS class not found - fa                                                                  D:\ASU\Thesis\TestingData\index.html                                                      52   137  
ReferenceError(NonExistentID)           ID not found - idteset                                                                    D:\ASU\Thesis\TestingData\css\sample.css                                                  9    2    
ReferenceError(NonExistentID)           ID not found - demo2                                                                      D:\ASU\Thesis\TestingData\css\sample.css                                                  12   2    
ReferenceError(NonExistentID)           ID not found - demo2                                                                      D:\ASU\Thesis\TestingData\scripts\test.js                                                 11   25   
ReferenceError(NonExistentFunction)     Function not found - doNothing                                                            D:\ASU\Thesis\TestingData\index.html                                                      52   104  
ReferenceError(NonExistentClass)        Class not found - stopButton                                                              D:\ASU\Thesis\TestingData\scripts\test.js                                                 4    29   
ReferenceError(NonExistentClass)        Class not found - stopButton                                                              D:\ASU\Thesis\TestingData\scripts\test.js                                                 12   28   
ReferenceError(NonExistentClass)        Class not found - stopButton                                                              D:\ASU\Thesis\TestingData\scripts\temptest.js                                             4    29   
Total 31 errors!
Total 1789 warnings!

